category,orders,late_pct,avg_review
audio,348,12.9,3.84
books_technical,256,10.9,4.39
home_confort,392,10.5,3.85
food,441,10.0,4.26
electronics,2517,9.8,4.07
baby,2809,9.2,4.08
office_furniture,1254,9.2,3.51
unknown,1391,9.1,3.94
construction_tools_lights,242,9.1,4.08
construction_tools_construction,736,9.1,4.09
health_beauty,8647,9.0,4.19
musical_instruments,611,8.8,4.22
bed_bath_table,9271,8.7,3.92
auto,3809,8.6,4.11
furniture_decor,6303,8.5,3.96
furniture_living_room,414,8.5,3.93
telephony,4092,8.5,3.99
watches_gifts,5493,8.5,4.07
industry_commerce_and_business,231,8.2,4.12
consoles_games,1018,8.2,4.14
